Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0CL07	GSA_SALTY	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL STM0202	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	426
O68838	GSH1_SALTY	reviewed	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	gshA STM2818	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	518
P43666	EPTB_SALTY	reviewed	Kdo(2)-lipid A phosphoethanolamine 7''-transferase (EC 2.7.8.42) (Phosphoethanolamine transferase EptB)	eptB STM3635	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	563
P36555	EPTA_SALTY	reviewed	Phosphoethanolamine transferase EptA (EC 2.7.-.-) (Polymyxin resistance protein PmrC)	eptA pagB pmrC STM4293	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	547
P40680	ERFK_SALTY	reviewed	Probable L,D-transpeptidase ErfK/SrfK (EC 2.-.-.-)	erfK srfK STM2015	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	309
Q7CQE4	EMTA_SALTY	reviewed	Endo-type membrane-bound lytic murein transglycosylase A (EC 4.2.2.n2) (Peptidoglycan lytic endotransglycosylase)	emtA STM1799	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	203
Q8ZNK6	END4_SALTY	reviewed	Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo STM2203	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	285
P08982	ENVZ_SALTY	reviewed	Osmolarity sensor protein EnvZ (EC 2.7.13.3)	envZ STM3501	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	450
P0A1H3	EFG_SALTY	reviewed	Elongation factor G (EF-G)	fusA STM3446	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	704
P64052	EFTS_SALTY	reviewed	Elongation factor Ts (EF-Ts)	tsf STM0217	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	283
P74876	DPO3X_SALTY	reviewed	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)	dnaX dnaZ dnaZX STM0484	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	642
Q8ZKC3	DSBD_SALTY	reviewed	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)	dsbD STM4323	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	567
P0A1H1	DSBI_SALTY	reviewed	Protein-disulfide oxidoreductase DsbI	dsbI STM3194	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	225
Q8ZNM4	DUSC_SALTY	reviewed	tRNA-dihydrouridine(16) synthase (EC 1.3.1.-) (U16-specific dihydrouridine synthase) (U16-specific Dus) (tRNA-dihydrouridine synthase C)	dusC STM2174	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	312
Q8ZKB8	EPMB_SALTY	reviewed	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.-) (EF-P post-translational modification enzyme B)	epmB yjeK STM4333	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	342
Q8ZMS4	ENDPH_SALTY	reviewed	Probable replication endonuclease from prophage-like region (EC 3.1.-.-) (Fels-2 prophage protein)	STM2729	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	809
P64068	ENGB_SALTY	reviewed	Probable GTP-binding protein EngB	engB STM4001	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	210
Q7CPZ4	GRPE_SALTY	reviewed	Protein GrpE (HSP-70 cofactor)	grpE STM2681	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	196
