GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O82922	finO	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83334	UniProt		F
UniProtKB	P00956	ileS	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033708	83333	InterPro		F
UniProtKB	P00957	alaS	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P00957	alaS	enables	GO:0000049	tRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0820	83333	UniProt		F
UniProtKB	P00959	metG	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002547	83333	InterPro		F
UniProtKB	P00959	metG	enables	GO:0000049	tRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0820	83333	UniProt		F
UniProtKB	P00959	metG	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P02358	rpsF	enables	GO:0070181	small ribosomal subunit rRNA binding	ECO:0000318	IBA	PMID:21873635	EcoGene:EG10905|PANTHER:PTN001077198	83333	GO_Central		F
UniProtKB	P02358	rpsF	enables	GO:0070181	small ribosomal subunit rRNA binding	ECO:0000314	IDA	PMID:6208366		83333	EcoCyc		F
UniProtKB	P02358	rpsF	enables	GO:0048027	mRNA 5'-UTR binding	ECO:0000314	IDA	PMID:23980204		83333	EcoCyc		F
UniProtKB	P02358	rpsF	enables	GO:0019843	rRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000529|InterPro:IPR020814|InterPro:IPR020815|InterPro:IPR035980	83333	InterPro		F
UniProtKB	P02358	rpsF	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P02358	rpsF	enables	GO:0019843	rRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0699	83333	UniProt		F
UniProtKB	P02358	rpsF	enables	GO:0019843	rRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084122	83333	UniProt		F
UniProtKB	P02359	rpsG	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:7016341		83333	CAFA		F
UniProtKB	P02359	rpsG	enables	GO:0019843	rRNA binding	ECO:0000318	IBA	PMID:21873635	EcoGene:EG10906|PANTHER:PTN000128889	83333	GO_Central		F
UniProtKB	P02359	rpsG	enables	GO:0003729	mRNA binding	ECO:0000318	IBA	PMID:21873635	EcoGene:EG10906|PANTHER:PTN000128889|TAIR:locus:2049862|TAIR:locus:2081546|UniProtKB:P46782	83333	GO_Central		F
UniProtKB	P02359	rpsG	enables	GO:0019843	rRNA binding	ECO:0000314	IDA	PMID:6338481		83333	EcoCyc		F
UniProtKB	P02359	rpsG	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:8289236		83333	EcoCyc		F
UniProtKB	P02359	rpsG	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:17027976		83333	EcoCyc		F
UniProtKB	P02359	rpsG	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020606	83333	InterPro		F
UniProtKB	P02359	rpsG	enables	GO:0019843	rRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0699	83333	UniProt		F
UniProtKB	P02359	rpsG	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P02359	rpsG	enables	GO:0000049	tRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0820	83333	UniProt		F
UniProtKB	P02359	rpsG	enables	GO:0019843	rRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000030804	83333	UniProt		F
UniProtKB	P02359	rpsG	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000030804	83333	UniProt		F
UniProtKB	P02413	rplO	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P02413	rplO	enables	GO:0019843	rRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0699	83333	UniProt		F
UniProtKB	P02413	rplO	enables	GO:0019843	rRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000047417	83333	UniProt		F
UniProtKB	P04805	gltX	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008925	83333	InterPro		F
UniProtKB	P05055	pnp	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004088|InterPro:IPR012162|InterPro:IPR015848|InterPro:IPR036456|InterPro:IPR036612	83333	InterPro		F
UniProtKB	P05055	pnp	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P05055	pnp	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000001279	83333	UniProt		F
UniProtKB	P06616	era	enables	GO:0070181	small ribosomal subunit rRNA binding	ECO:0000314	IDA	PMID:10527840		83333	UniProt		F
UniProtKB	P06616	era	enables	GO:0019843	rRNA binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000182760|UniProtKB:O75616	83333	GO_Central		F
UniProtKB	P06616	era	enables	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:10510227		83333	EcoCyc		F
UniProtKB	P06616	era	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004044|InterPro:IPR005662|InterPro:IPR009019	83333	InterPro		F
UniProtKB	P06616	era	enables	GO:0019843	rRNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0699	83333	UniProt		F
UniProtKB	P06616	era	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P06616	era	enables	GO:0070181	small ribosomal subunit rRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084139	83333	UniProt		F
UniProtKB	P06961	cca	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002646|InterPro:IPR012006	83333	InterPro		F
UniProtKB	P06961	cca	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P06961	cca	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	83333	UniProt		F
UniProtKB	P06992	rsmA	enables	GO:0019843	rRNA binding	ECO:0000314	IDA	PMID:2500421		83333	EcoCyc		F
UniProtKB	P06992	rsmA	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:2500421		83333	EcoCyc		F
UniProtKB	P06992	rsmA	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	83333	UniProt		F
UniProtKB	P07012	prfB	enables	GO:0016149	translation release factor activity, codon specific	ECO:0000314	IDA	PMID:4879404		83333	EcoCyc		F
UniProtKB	P07012	prfB	enables	GO:0003747	translation release factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000352	83333	InterPro		F
UniProtKB	P07012	prfB	enables	GO:0016149	translation release factor activity, codon specific	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004374	83333	InterPro		F
UniProtKB	P07012	prfB	enables	GO:0016149	translation release factor activity, codon specific	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000001253	83333	UniProt		F
UniProtKB	P07395	pheT	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002547|InterPro:IPR033714	83333	InterPro		F
UniProtKB	P07395	pheT	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005146|InterPro:IPR005147	83333	InterPro		F
