1	86	32.093
2	39	45.899
3	52	27.253
4	32	36.216
5	66	19.549
6	33	44.703
7	48	17.101
8	43	11.972
9	66	12.768
10	122	59.774
11	43	5.149
12	216	14.416
13	128	11.880
14	36	3.735
15	38	31.829
16	71	31.808
17	60	37.514
18	39	3.723
19	49	33.723
20	12	16.254
21	61	57.029
22	47	59.636
23	20	10.141
24	39	10.784
25	34	13.797
26	15	57.191
27	14	27.709
28	47	39.295
29	52	26.761
30	453	48.970
31	82	51.688
32	9	30.373
33	170	42.217
34	30	57.077
35	107	29.390
36	137	32.758
37	66	31.169
38	42	16.734
39	47	49.065
40	38	43.435
41	37	23.599
42	43	54.806
43	59	40.634
44	87	23.104
45	34	27.855
46	89	0.495
47	26	51.408
48	21	57.814
49	71	57.877
50	37	21.842
51	12	3.721
52	65	52.890
53	65	35.523
54	106	1.441
55	34	27.280
56	94	13.721
57	43	41.723
58	17	3.867
59	78	49.694
60	12	31.342
61	34	44.806
62	47	53.586
63	289	29.186
64	9	55.174
65	22	51.289
66	33	59.104
67	110	15.552
68	106	33.950
69	27	44.810
70	82	7.949
71	66	4.463
72	51	39.982
73	58	14.541
74	56	52.689
75	59	35.296
76	20	11.992
77	31	46.864
78	17	19.645
79	608	15.142
80	55	7.886
81	28	35.529
82	57	46.773
83	38	35.336
84	18	23.063
85	98	0.006
86	25	24.803
87	22	6.879
88	24	11.249
89	31	14.806
90	16	21.958
91	59	5.198
92	15	42.354
93	57	23.267
94	17	29.239
95	19	24.173
96	29	29.882
97	18	15.832
98	16	35.173
99	42	51.036
100	30	14.380
101	70	33.486
102	47	48.437
103	114	25.781
104	62	3.338
105	298	39.369
106	161	25.487
107	61	15.776
108	114	59.891
109	110	4.430
110	50	26.796
111	46	40.720
112	225	11.876
113	141	27.459
114	87	38.083
115	223	58.600
116	61	41.756
117	56	10.259
118	15	41.998
119	58	28.291
120	249	5.336
121	70	11.152
122	217	23.571
123	42	20.715
124	79	40.691
125	145	56.875
126	160	35.986
127	139	44.199
128	175	43.941
129	88	20.049
130	27	30.137
131	81	39.612
132	20	53.308
133	98	1.231
134	12	10.135
135	153	26.321
136	63	29.311
137	148	15.514
138	98	58.030
139	44	39.625
140	52	13.235
141	58	33.425
142	33	29.954
143	22	48.670
144	7	45.775
145	105	21.630
146	54	5.150
147	31	36.016
148	23	38.890
149	41	45.003
150	162	24.796
151	24	30.538
152	50	23.688
153	41	4.773
154	79	4.415
155	72	15.572
156	105	19.953
157	22	30.185
158	65	48.638
159	54	28.347
160	119	39.375
161	82	4.135
162	299	21.618
163	79	16.463
164	81	32.342
165	69	39.584
166	254	1.823
167	46	32.008
168	52	21.284
169	105	53.242
170	206	5.543
171	116	44.529
172	52	49.373
173	46	11.388
174	186	20.494
175	23	3.908
176	54	19.571
177	24	56.976
178	24	22.797
179	74	42.892
180	75	1.044
181	35	30.444
182	78	51.767
183	15	59.063
184	73	11.874
185	51	36.605
186	42	42.359
187	47	8.683
188	40	29.015
189	25	48.863
190	40	58.907
191	43	12.914
192	114	11.051
193	48	56.285
194	12	47.613
195	63	57.276
196	65	38.235
197	94	35.861
198	64	16.506
199	66	58.426
200	145	21.032
201	39	0.625
202	116	31.010
203	70	18.445
204	128	51.982
205	51	37.661
206	46	11.471
207	36	8.797
208	19	35.509
209	26	42.970
210	20	28.215
211	36	23.169
212	48	45.916
213	43	28.188
214	38	23.985
215	74	24.060
216	61	56.212
217	80	21.160
218	151	29.655
219	54	28.117
220	61	23.162
221	54	51.349
222	43	22.156
223	125	15.271
224	26	3.570
225	78	30.835
226	59	1.174
227	24	55.745
228	85	4.731
229	24	24.788
230	25	39.527
231	36	9.620
232	92	40.254
233	26	35.410
234	57	48.327
235	26	54.359
236	26	11.514
237	19	4.946
238	31	48.009
239	24	13.734
240	39	18.236
241	14	37.526
242	73	33.408
243	44	7.760
244	38	25.636
245	20	17.190
246	24	8.957
247	17	46.703
248	65	28.328
249	26	24.610
250	48	0.399
